247BA0 70C1B3 B2DBBF F3FFBD FF1654
05668D 028090 00A896 02C39A F0F3BD
011627 FDFFFC 2EC4B6 E71D36 FF9F1C
FFCDB2 FFB4A2 E5989B B5838D 6D6875
E63946 F1FAEE A8DADC 457B9D 1D3557
264653 2A9D8F E9C46A F4A261 E76F51
1A535C 4ECDC4 F7FFF7 FF6B6B FFE66D
50514F F25F5C FFE066 247BA0 70C1B3
2B2D42 8D99AE EDF2F4 EF233C D90429
D8E2DC FFE5D9 FFCAD4 F4ACB7 9D8189
FFFFFF 00171F 003459 007EA7 00A8E8
FE938C E6B89C EAD2AC 9CAFB7 4281A4
003049 D62828 F77F00 FCBF49 EAE2B7
EF476F FFD166 06D6A0 118AB2 073B4C
5BC0EB FDE74C 9BC53D E55934 FA7921
ED6A5A F4F1BB 9BC1BC 5CA4A9 E6EBE0
0B132B 1C2541 3A506B 5BC0BE 6FFFE9
F2D7EE D3BCC0 A5668B 69306D 0E103D
9C89B8 F0A6CA EFC3E6 F0E6EF B8BEDD
000000 14213D FCA311 E5E5E5 FFFFFF
BCE784 5DD39E 348AA7 525174 513B56
22223B 4A4E69 9A8C98 C9ADA7 F2E9E4
FF9F1C FFBF69 FFFFFF CBF3F0 2EC4B6
114B5F 028090 E4FDE1 456990 F45B69
3D5A80 98C1D9 E0FBFC EE6C4D 293241
114B5F 1A936F 88D498 C6DABF F3E9D2
DCDCDD C5C3C6 46494C 4C5C68 1985A1
7BDFF2 B2F7EF EFF7F6 F7D6E0 F2B5D4
2D3142 4F5D75 BFC0C0 FFFFFF EF8354
011627 F71735 41EAD4 FDFFFC FF9F1C
06AED5 086788 F0C808 FFF1D0 DD1C1A
F6511D FFB400 00A6ED 7FB800 0D2C54
D8DBE2 A9BCD0 58A4B0 373F51 1B1B1E
CFDBD5 E8EDDF F5CB5C 242423 333533
083D77 EBEBD3 F4D35E EE964B F95738
FFB997 F67E7D 843B62 0B032D 74546A
13293D 006494 247BA0 1B98E0 E8F1F2
3D315B 444B6E 708B75 9AB87A F8F991
05668D 427AA1 EBF2FA 679436 A5BE00
C9CBA3 FFE1A8 E26D5C 723D46 472D30
